artifact_file,scenario_id,target_actor_id,num_modes,prediction_steps,ego_future_steps,target_future_steps,probability_sum,joint_valid_steps,status,notes
08af3356-3c43-49e8-b2b0-45a28a665499.npz,08af3356-3c43-49e8-b2b0-45a28a665499,34154,6,60,60,60,1.0000000186264515,60,pass,
08b078c9-5ea3-4d30-acb9-ae9bfe362f95.npz,08b078c9-5ea3-4d30-acb9-ae9bfe362f95,94384,6,60,60,60,0.9999999576502887,60,pass,
08b1904d-b315-4730-bfdd-dcb44327b4cb.npz,08b1904d-b315-4730-bfdd-dcb44327b4cb,80937,6,60,60,60,0.9999999776482582,60,pass,
08b528e4-fa2a-4864-b249-46079094838d.npz,08b528e4-fa2a-4864-b249-46079094838d,1058,6,60,60,60,0.9999999925494194,60,pass,
08b86267-e51c-4b94-943c-74e2d2f5c888.npz,08b86267-e51c-4b94-943c-74e2d2f5c888,50976,6,60,60,60,0.9999999636784196,60,pass,
08ceee9e-e457-40dd-b7c8-243ef07ad38d.npz,08ceee9e-e457-40dd-b7c8-243ef07ad38d,135096,6,60,60,60,0.9999999739229679,60,pass,
08ddc1e4-f76f-46ed-85df-0f753456aa86.npz,08ddc1e4-f76f-46ed-85df-0f753456aa86,22558,6,60,60,60,1.000000040163286,60,pass,
08e2e23b-00bc-4e78-befa-a67d86d4e0b0.npz,08e2e23b-00bc-4e78-befa-a67d86d4e0b0,32256,6,60,60,60,1.000000011175871,60,pass,
08e64e49-f35e-4727-bfb7-a77e36374e71.npz,08e64e49-f35e-4727-bfb7-a77e36374e71,170095,6,60,60,60,1.0000000074505806,60,pass,
08ea28e2-cb18-4099-9061-c75233eb3a73.npz,08ea28e2-cb18-4099-9061-c75233eb3a73,24155,6,60,60,60,1.000000040687155,60,pass,
08f6a6b5-8b32-45a6-ac3b-841e4b5e7922.npz,08f6a6b5-8b32-45a6-ac3b-841e4b5e7922,30513,6,60,60,60,1.0000000447034836,60,pass,
08f8f499-8f53-42e3-96a7-bc45ba6a1ffc.npz,08f8f499-8f53-42e3-96a7-bc45ba6a1ffc,37978,6,60,60,60,1.0000000465661287,60,pass,
0902700b-491f-4a8d-b9cf-71e6f673f344.npz,0902700b-491f-4a8d-b9cf-71e6f673f344,169429,6,60,60,60,0.9999999403953552,60,pass,
09076225-ca14-4d51-95c3-7d4641a708ba.npz,09076225-ca14-4d51-95c3-7d4641a708ba,113707,6,60,60,60,0.9999999664723873,60,pass,
090b4d1d-bc7f-46e6-aa6b-93e80f148d99.npz,090b4d1d-bc7f-46e6-aa6b-93e80f148d99,95331,6,60,60,60,0.9999999804422259,60,pass,
090cfad2-d131-4892-8968-732511acdc26.npz,090cfad2-d131-4892-8968-732511acdc26,166921,6,60,60,60,0.999999962747097,60,pass,
0916b221-d0be-4a49-9e55-0f8871942a90.npz,0916b221-d0be-4a49-9e55-0f8871942a90,21607,6,60,60,60,0.9999998658895493,60,pass,
092f2cf0-3e98-42f9-bb46-202eae90a1ce.npz,092f2cf0-3e98-42f9-bb46-202eae90a1ce,76696,6,60,60,60,0.9999999655410647,60,pass,
093cb621-9b6a-42ac-91d4-3dec40ca877e.npz,093cb621-9b6a-42ac-91d4-3dec40ca877e,124078,6,60,60,60,0.999999989785465,60,pass,
093dc53a-1acd-4ba9-b205-2cea013311e0.npz,093dc53a-1acd-4ba9-b205-2cea013311e0,16645,6,60,60,60,0.9999999827123247,60,pass,
094262ca-fdcc-4063-8619-a7a326cb012c.npz,094262ca-fdcc-4063-8619-a7a326cb012c,44271,6,60,60,60,0.9999999651918188,60,pass,
0945dab7-f9a4-49aa-ba8b-356ce3a17a65.npz,0945dab7-f9a4-49aa-ba8b-356ce3a17a65,105774,6,60,60,60,1.0000000204890966,60,pass,
